記録対戦数,記録段位,記録点数,和了率,放銃率,ツモ率,ダマ率,流局率,流局聴牌率,副露率,立直率,和了巡数,平均和了,平均放銃,平均順位,飛び率,安定段位,点数期待,立直和了,立直放銃A,立直放銃B,立直収支,立直収入,立直支出,先制率,追っかけ率,追っかけられ率,立直巡目,立直流局,一発率,振聴率,立直多面,立直良形,最高段位,最高点数,最大連荘,裏ドラ率,痛い親かぶり率,痛い親かぶり平均,放銃時立直率,放銃時副露率,副露後放銃率,副露後和了率,副露後流局率,打点効率,銃点損失,調整打点効率,局収支,総計局数,和了時立直率,和了時副露率,和了時ダマ率
3084,豪1,1348/2800,0.2155,0.1438,0.3705,0.1461,0.1299,0.4946,0.2507,0.2110999999999999,12.433,7008.0,5638.0,2.475,0.0868999999999999,豪1.41,1.6 (909),0.4886,0.1402,0.106,2917.0,8243.0,7240.0,0.8029999999999999,0.1969999999999999,0.1937,9.604,0.1459,0.1966,0.0098,0.7461,0.4615999999999999,聖1,2235/4000,7.0,0.3234,0.1024,10445.0,0.2059,0.2678999999999999,0.1537,0.3226,0.1235999999999999,1510.0,811.0,699.0,38.0,31959.0,0.478623944315545,0.3752938283062645,0.1461
635,豪2,2181/3200,0.215,0.152,0.3524,0.1469,0.1247,0.5128,0.3618,0.1635,12.335,6350.0,5494.0,2.564,0.0803,豪-0.70,-10.9 (201),0.5051,0.1393,0.1021,2872.0,7690.0,6462.0,0.8449,0.1551,0.221,9.338,0.1336999999999999,0.2059,0.0028,0.7734000000000001,0.5153,豪2,2181/3200,5.0,0.2794,0.1027,10533.0,0.1499,0.4056,0.1704,0.2786,0.1389,1365.0,835.0,530.0,-117.0,6586.0,0.3841109302325582,0.46882548837209304,0.1469
2435,傑3,1117/2000,0.2078,0.1855,0.3846,0.0956,0.1198,0.593,0.2738,0.2347,12.717,7664.0,5893.0,2.573,0.1314,豪-1.50,2.3,0.4603,0.1493,0.106,2817.0,8607.0,6978.0,0.7605,0.2395,0.1783,10.172,0.1592,0.2130999999999999,0.0128,0.7265,0.4639,豪2,2046/3200,6.0,0.3342,0.1028999999999999,10535.0,0.1889999999999999,0.2766,0.1873999999999999,0.2919,0.1168999999999999,1593.0,1093.0,500.0,-104.0,24678.0,0.5198864773820981,0.3846112608277189,0.0956
196,豪1,648/2800,0.1994,0.1527,0.3804999999999999,0.1682999999999999,0.1143,0.5318999999999999,0.2821,0.1863,12.449,6449.0,5376.0,2.607,0.0969,豪-1.64,-10.9 (59),0.4490999999999999,0.1488,0.0992,2460.0,7954.0,6660.0,0.7545999999999999,0.2453999999999999,0.1984,9.957,0.1488,0.2035,0.0104,0.7545999999999999,0.4648,豪1,1545/2800,4.0,0.314,0.0896,9809.0,0.1815,0.2707,0.1466,0.2914,0.1172,1286.0,821.0,465.0,-166.0,2056.0,0.41959543630892676,0.4122564694082247,0.1682999999999999
122,傑1,360/1200,0.2057,0.1636,0.3745,0.0965,0.1255,0.4429999999999999,0.3804999999999999,0.1589,12.787,7105.0,5974.0,2.615,0.0902,豪-2.18,-0.8,0.52,0.145,0.105,3322.0,8483.0,7307.0,0.815,0.185,0.18,9.645,0.155,0.25,0.005,0.715,0.48,豪1,2561/2800,3.0,0.2885,0.11,11663.0,0.1408,0.3786,0.1628,0.2714,0.1253,1462.0,978.0,484.0,-151.0,1259.0,0.4016917841516773,0.5020306271268836,0.0965
311,豪1,1043/2800,0.1951999999999999,0.1514,0.4035,0.0506,0.1393,0.4656,0.3414,0.1939999999999999,12.345,6565.0,5533.0,2.662,0.0803999999999999,豪-2.93,-17.6 (59),0.4682,0.1465,0.1099,2722.0,8145.0,6995.0,0.8025,0.1975,0.1926999999999999,9.633,0.1783,0.1769,0.0207,0.7834,0.4825,豪2,1888/3200,5.0,0.2721,0.0822,10534.0,0.1878,0.3693999999999999,0.1638,0.2769,0.1384999999999999,1282.0,838.0,444.0,-211.0,3237.0,0.4653217213114754,0.4842912909836068,0.0506
916,豪2,1451/3200,0.2465,0.1523,0.3522,0.0843999999999999,0.1208,0.4934,0.3315999999999999,0.2214999999999999,12.303,6401.0,5782.0,2.485,0.0873,豪1.11,-3.5 (411),0.4978,0.155,0.1135999999999999,2809.0,8045.0,6938.0,0.7944,0.2055999999999999,0.2037,9.49,0.1276,0.2079,0.0034,0.7511,0.4765999999999999,豪3,2884/3600,7.0,0.3395,0.1177999999999999,10461.0,0.2255,0.3529,0.1621,0.348,0.111,1578.0,881.0,697.0,44.0,9376.0,0.44731318458417835,0.46814117647058806,0.0843999999999999
298,傑3,854/2000,0.2319999999999999,0.1598,0.3747999999999999,0.1103,0.1175,0.5475,0.3878999999999999,0.1779,12.355,6531.0,5746.0,2.5,0.094,豪0.03,9.0,0.5018,0.1494,0.1107,2996.0,8363.0,7414.0,0.7269,0.2731,0.155,9.767,0.1494,0.2794,0.0129,0.7786,0.5129,豪1,2225/2800,4.0,0.3198999999999999,0.0868,10258.0,0.1663,0.3881,0.1599,0.302,0.1066,1515.0,918.0,597.0,19.0,3047.0,0.384785431034483,0.5049387931034485,0.11029999999999998
1014,聖1,3794/4000,0.2098,0.1229,0.371,0.1153,0.1417,0.4790999999999999,0.222,0.2337999999999999,12.425,7232.0,5529.0,2.427,0.074,豪3.94,-0.2 (20248),0.5043,0.128,0.0928,3155.0,8276.0,7212.0,0.8123,0.1877,0.2057,9.736,0.1452,0.1987,0.0123,0.7456,0.5061,聖1,3825/4000,5.0,0.3162999999999999,0.1026,10622.0,0.2435999999999999,0.2232999999999999,0.1235999999999999,0.3049,0.1822,1517.0,679.0,838.0,149.0,10459.0,0.5619892278360341,0.3226301239275501,0.1153
1109,豪3,1922/3600,0.2087999999999999,0.1293,0.3608,0.0898,0.1399,0.4206,0.3073,0.2032999999999999,12.24,6822.0,5504.0,2.463,0.0803,豪2.66,-1.1 (1700),0.4943999999999999,0.1426,0.1101999999999999,2964.0,8100.0,6640.0,0.8096,0.1903999999999999,0.1896,9.34,0.1473,0.209,0.0068,0.7091,0.4879,豪3,3598/3600,5.0,0.3195,0.0915,10536.0,0.2242,0.3295,0.1387,0.2914,0.1432,1425.0,712.0,713.0,11.0,11522.0,0.4813770114942527,0.4288659961685825,0.0898
